ID,ENGLISH,FRENCH
GAMEPLAY_ALL_APPLY,Apply,Appliquer
GAMEPLAY_ALL_BACK,Back,Retour
GAMEPLAY_ALL_NEXT,Next,Suivant
GAMEPLAY_COLLEGELEAGUE,College League Jams,Ligue de Jams Collègial
GAMEPLAY_COLLEGELEAGUE_ANDJAMDESC,Jam organised by a programming brotherhood. Wants to see the best written code.,Jam organisé par une fraternitée de programmeurs. S'attendent à du code de qualité.
GAMEPLAY_COLLEGELEAGUE_ANDJAMNAME,Alpha Nu Delta Brotherhood Jam,Jam de la Fraternitée Alpha Nu Delta
GAMEPLAY_COLLEGELEAGUE_ARTSCHOOLDESC,Jam hosted by a neighboring college's art program. Wants to discover new art styles.,Jam organisé par les profs d'art du collège voisin. Veulent voir des styles artistiques originaux.
GAMEPLAY_COLLEGELEAGUE_ARTSCHOOLNAME,Art Show Jam,Jam de la Classe Artistique
GAMEPLAY_COLLEGELEAGUE_BEATZDESC,Jam sponsored by a popular headphone brand. Music is key for your game.,Jam sponsorisé par une marque d'écouteur populaire. La musique est importante pour votre jeu.
GAMEPLAY_COLLEGELEAGUE_BEATZNAME,The Beatz Jam,Jam Les Beatz
GAMEPLAY_COLLEGELEAGUE_TRICOLLEGEDESC,Prestigious college Jam inside the league. Bring your best team.,Jam prestigieux dans la ligue des collèges. Apportez votre meilleure équipe.
GAMEPLAY_COLLEGELEAGUE_TRICOLLEGENAME,Tri-College Jam,Jam Triple-Collège
GAMEPLAY_GLOBALJAM,Global Jams,Jams Globaux
GAMEPLAY_GLOBALJAM_GLOBALJAMDESC,International jam participated by devs around the world. Use this time to improve yourself.,Jam international qui contient des devs d'autour du monde. Utilisez ce temps pour vous améliorer.
GAMEPLAY_GLOBALJAM_GLOBALJAMNAME,Ultimate Global Jam,Jam Ultime Global
GAMEPLAY_GLOBALJAM_METAJAMDESC,Jam posted on a popular online game storefront. The goal is to have fun and to learn.,Jam posté sur un site de vente de jeux populaire. Le but est de s'amuser!
GAMEPLAY_GLOBALJAM_METAJAMNAME,Itch.IO Meta Jam,Jam Meta Itch.IO
